category,id
age,1
alone,2
amazing,3
anger,4
anniversary,5
architecture,6
art,7
attitude,8
beauty,9
best,10
birthday,11
business,12
car,13
change,14
christmas,15
communication,16
computers,17
cool,18
courage,19
dad,20
dating,21
death,22
design,23
diet,24
dreams,25
easter,26
education,27
environmental,28
equality,29
experience,30
failure,31
faith,32
family,33
famous,34
fathersday,35
fear,36
finance,37
fitness,38
food,39
forgiveness,40
freedom,41
friendship,42
funny,43
future,44
gardening,45
god,46
good,47
government,48
graduation,49
great,50
happiness,51
health,52
history,53
home,54
hope,55
humor,56
imagination,57
inspirational,58
intelligence,59
jealousy,60
knowledge,61
leadership,62
learning,63
legal,64
life,65
love,66
marriage,67
medical,68
memorialday,69
men,70
mom,71
money,72
morning,73
mothersday,74
motivational,75
movies,76
movingon,77
music,78
nature,79
newyears,80
parenting,81
patience,82
patriotism,83
peace,84
pet,85
poetry,86
politics,87
positive,88
power,89
relationship,90
religion,91
respect,92
romantic,93
sad,94
saintpatricksday,95
science,96
smile,97
society,98
sports,99
strength,100
success,101
sympathy,102
teacher,103
technology,104
teen,105
thankful,106
thanksgiving,107
time,108
travel,109
trust,110
truth,111
valentinesday,112
war,113
wedding,114
wisdom,115
women,116
work,117
