author	id
A. A. Milne	1
A. B. Yehoshua	2
A. Bartlett Giamatti	3
A. C. Benson	4
A. E. Housman	5
A. E. van Vogt	6
A. J. Jacobs	7
A. J. Langer	8
A. J. Liebling	9
A. J. McLean	10
A. J. Muste	11
A. J. P. Taylor	12
A. N. Wilson	13
A. P. Herbert	14
A. Philip Randolph	15
A. R. Ammons	16
A. Whitney Brown	17
Aaliyah	18
Aaron Allston	19
Aaron Carter	20
Aaron Eckhart	21
Aaron Hill	22
Aaron Neville	23
Aaron Paul	24
Aaron Sanchez	25
Aaron Sorkin	26
Aaron Spelling	27
Aaron Swartz	28
Aaron Tveit	29
Aarti Sequeira	30
Aasif Mandvi	31
Abba Eban	32
Abbas Kiarostami	33
Abbe Pierre	34
Abbie Cornish	35
Abbie Hoffman	36
Abbott L. Lowell	37
Abdallah II	38
Abdolkarim Soroush	39
Abdoulaye Wade	40
Abdul Kalam	41
Abdul Qadeer Khan	42
Abdullah Ibrahim	43
Abdurrahman Wahid	44
Abdus Salam	45
Abe Lemons	46
Abel Ferrara	47
Abigail Adams	48
Abigail Breslin	49
Abigail Van Buren	50
Abraham Cahan	51
Abraham Cowley	52
Abraham Joshua Heschel	53
Abraham Kuyper	54
Abraham Lincoln	55
Abraham Maslow	56
Abraham Pais	57
Abraham Zapruder	58
Abu Abbas	59
Abu Bakar Bashir	60
Abu Bakr	61
Ace Frehley	62
Ad Reinhardt	63
Ada Louise Huxtable	64
Adam Ant	65
Adam Arkin	66
Adam Brody	67
Adam Carolla	68
Adam Clarke	69
Adam Clayton	70
Adam Clymer	71
Adam Derek Scott	72
Adam Duritz	73
Adam Ferguson	74
Adam Garcia	75
Adam Hochschild	76
Adam Lambert	77
Adam Levine	78
Adam Oates	79
Adam Osborne	80
Adam Rich	81
Adam Rickitt	82
Adam Sandler	83
Adam Savage	84
Adam Schiff	85
Adam Scott	86
Adam Sedgwick	87
Adam Smith	88
Adam Weishaupt	89
Adam Yauch	90
Addison Mizner	91
Adela Florence Nicolson	92
Adelaide Anne Procter	93
Adelbert von Chamisso	94
Adele	95
Adewale Akinnuoye-Agbaje	96
Adlai E. Stevenson	97
Adlai Stevenson	98
Adnan Pachachi	99
Adolf Galland	100
Adolf Hitler	101
Adolf Loos	102
Adoniram Judson	103
Adrian Belew	104
Adrian Cronauer	105
Adrian Edmondson	106
Adrian Grenier	107
Adrian Lyne	108
Adrian Mitchell	109
Adrian Smith	110
Adriana Lima	111
Adriana Trigiani	112
Adrianne Palicki	113
Adrien Brody	114
Adrienne Barbeau	115
Adrienne Rich	116
Aeschylus	117
Aesop	118
Afrika Bambaataa	119
Agatha Christie	120
Agathon	121
Agha Hasan Abedi	122
Agnes Bruckner	123
Agnes de Mille	124
Agnes Macphail	125
Agnes Martin	126
Agnes Obel	127
Agnes Repplier	128
Agnes Smedley	129
Agnetha Faltskog	130
Ahmed Ali	131
Ahmed Ben Bella	132
Ahmed Chalabi	133
Ahmed Yassin	134
Ahmet Davutoglu	135
Ahmet Necdet Sezner	136
Ahmet Zappa	137
Ai Weiwei	138
Aida Turturro	139
Aidan Quinn	140
Aiden Wilson Tozer	141
Aime Cesaire	142
Aimee Mann	143
Aisha Tyler	144
Aishwarya Rai	145
Ajay Devgan	146
Ajay Naidu	147
Akbar Hashemi Rafsanjani	148
Akhenaton	149
Akhmad Kadyrov	150
Akira Kurosawa	151
Al Bernstein	152
Al Boliska	153
Al Capp	154
Al D'Amato	155
Al Franken	156
Al Goldstein	157
Al Gore	158
Al Green	159
Al Jardine	160
Al Jarreau	161
Al Kaline	162
Al Leiter	163
Al Lewis	164
Al Lopez	165
Al McGuire	166
Al Michaels	167
Al Pacino	168
Al Roker	169
Al Sharpton	170
Al Stewart	171
Al Unser	172
Al Yankovic	173
Al-Waleed bin Talal	174
Alain Badiou	175
Alain de Botton	176
Alain Delon	177
Alain Prost	178
Alain Robert	179
Alan Alda	180
Alan Autry	181
Alan Bean	182
Alan Bennett	183
Alan Bleasdale	184
Alan Clark	185
Alan Cohen	186
Alan Cumming	187
Alan Davies	188
Alan Dean Foster	189
Alan Dershowitz	190
Alan Dundes	191
Alan Greenspan	192
Alan Hansen	193
Alan Hovhaness	194
Alan Jackson	195
Alan K. Simpson	196
Alan Kay	197
Alan Keyes	198
Alan King	199
Alan Ladd	200
Alan Lakein	201
Alan Mollohan	202
Alan Moore	203
Alan Parsons	204
Alan Paton	205
Alan Perlis	206
Alan Price	207
Alan Rickman	208
Alan Shearer	209
Alan Shepard	210
Alan Sugar	211
Alan Thicke	212
Alan Turing	213
Alan Vega	214
Alan Watts	215
Alanis Morissette	216
Alanna Ubach	217
Alannah Myles	218
Alastair Campbell	219
Alban Berg	220
Alben W. Barkley	221
Albert Bandura	222
Albert Barnes	223
Albert Brooks	224
Albert Bushnell Hart	225
Albert Camus	226
Albert Claude	227
Albert Einstein	228
Albert Ellis	229
Albert Finney	230
Albert J. Nock	231
Albert Pike	232
Albert Schweitzer	233
Albert Szent-Gyorgyi	234
Albert Wynn	235
Alberta Hunter	236
Alberto Fujimori	237
Alberto Giacometti	238
Alberto Juantorena	239
Alberto Korda	240
Alberto Moravia	241
Alberto Salazar	242
Albrecht Durer	243
Alcee Hastings	244
Aldo Leopold	245
Aldous Huxley	246
Aldrich Ames	247
Alec Waugh	248
Aleister Crowley	249
Alejo Carpentier	250
Aleksa Palladino	251
Aleksander Kwasniewski	252
Aleksandr Solzhenitsyn	253
Alessandra Ambrosio	254
Alessandro Nivola	255
Alex Campbell	256
Alex Chiu	257
Alex Comfort	258
Alex Cox	259
Alex Ferguson	260
Alex Grey	261
Alex Haley	262
Alex Kapranos	263
Alex Lifeson	264
Alex Meraz	265
Alex Noble	266
Alex O'Loughlin	267
Alex Pettyfer	268
Alex Rodriguez	269
Alex Trebek	270
Alex Winter	271
Alexa Vega	272
Alexander Alekhine	273
Alexander Berkman	274
Alexander Calder	275
Alexander Chase	276
Alexander Cockburn	277
Alexander Downer	278
Alexander Graham Bell	279
Alexander Haig	280
Alexander Hamilton	281
Alexander Henry	282
Alexander Herzen	283
Alexander Jackson Davis	284
Alexander John Ellis	285
Alexander Kluge	286
Alexander Ludwig	287
Alexander Mackenzie	288
Alexander McCall Smith	289
Alexander McQueen	290
Alexander Meiklejohn	291
Alexander Payne	292
Alexander Pope	293
Alexander Skarsgard	294
Alexander Smith	295
Alexander the Great	296
Alexander Theroux	297
Alexander Wang	298
Alexander Woollcott	299
Alexandra Fuller	300
Alexandra Guarnaschelli	301
Alexandra Kerry	302
Alexandra Kosteniuk	303
Alexandra Patsavas	304
Alexandra Paul	305
Alexandra Roach	306
Alexandre Dumas	307
Alexandre Vinet	308
Alexei Navalny	309
Alexei Sayle	310
Alexi Giannoulias	311
Alexis Arguello	312
Alexis Bledel	313
Alexis Carrel	314
Alexis de Tocqueville	315
Alexis Herman	316
Alexis Korner	317
Alfonso Ribeiro	318
Alfred A. Montapert	319
Alfred Adler	320
Alfred Austin	321
Alfred Day Hershey	322
Alfred de Musset	323
